Club
Real Madrid
FC Barcelona
Valencia CF
Atlético Madrid
RC Celta
Real Sociedad
Villarreal CF
Real Betis
Athletic Club de Bilbao
Sevilla FC
Levante UD
SD Eibar
RCD Espanyol
Girona FC
Deportivo Alavés
Getafe CF
Real Valladolid CF
CD Leganés
Rayo Vallecano
SD Huesca
